Date,Day,Month,Year,Surveyor,Site,Start Time,End Time,TransectSite,Transect,Growth form,Latitude,Longitude,Temperature,Taxa,Genera,Species,Color morph,Size,Health status,Unhealthy status,Unhealthy,Unhealthy ID,percentUH,Location on colony,Margins,Shapes,Structures affected,Lesion,Photo,Sample ID #,Notes
21/11/18,21,2018 November,2018,Tess,Erscotts Reef,0:09,0:50,4,10,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Unhealthy,Disease,Disease,Tissue loss,15,Apical,Smooth,,,Tissue loss,Yes,Yes,
21/11/18,21,2018 November,2018,Tess,Coral Garden,3:41,4:05,2,2,Table,,,,Acropora,Acropora,,,L,Unhealthy,Disease,Disease,Growth anomaly,5,Central,,Circular,Coenosarc,Growth anomaly,Yes,DC021,
21/11/18,21,2018 November,2018,Tess,Coral Garden,3:41,4:05,2,2,Table,,,,Acropora,Acropora,,,L,Unhealthy,Disease,Disease,Tissue loss,1,Peripheral ,Smooth,,Polyp,Tissue loss,Yes,DC022,Same colony as above 
21/11/18,21,2018 November,2018,Tess,Coral Garden,3:41,4:05,2,2,Branching,,,,Pocillopora,Pocillopora,damicornis,,M,Unhealthy,Disease,Disease,Tissue loss,5,Peripheral ,Smooth,,Polyp,Tissue loss,Yes,DC023,
21/11/18,21,2018 November,2018,Tess,Coral Garden,3:41,4:05,2,2,Branching,,,,Pocillopora,Pocillopora,damicornis,,M,Unhealthy,Disease,Disease,Tissue loss,5,Peripheral ,Smooth,,Polyp,Tissue loss,Yes,DC024,
21/11/18,21,2018 November,2018,Tess,Coral Garden,5:00,5:18,3,3,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Tissue loss,10,Peripheral ,Smooth,,,Tissue loss,Yes,DC025,
21/11/18,21,2018 November,2018,Tess,Coral Garden,5:00,5:18,3,3,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Tissue loss,15,Peripheral ,Smooth,,,Tissue loss,Yes,DC026,
21/11/18,21,2018 November,2018,Tess,Coral Garden,5:00,5:18,3,3,Submassive,,,,Isopora,Isopora,cuneata,,L,Unhealthy,Disease,Disease,Tissue loss,16,Peripheral ,Smooth,,,Tissue loss,Yes,DC027,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,,,5,11,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Unhealthy,Disease,Disease,Tissue loss,10,Apical,Smooth,,Polyp,Tissue loss,Yes,NO,NO TIME
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,,,5,11,Table,,,,Acropora,Acropora,?,,L,Unhealthy,Disease,Disease,Tissue loss,1,Apical,,,,Tissue loss,Yes,Yes,1
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,,,5,11,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Unhealthy,Disease,Disease,Tissue loss,20,,,,,Tissue loss,Yes,NO,NO TIME
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,,,5,11,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Unhealthy,Disease,Disease,Tissue loss,10,,,,,Tissue loss,Yes,NO,NO TIME
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,,,5,11,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Unhealthy,Disease,Disease,Tissue loss,10,,,,,Tissue loss,Yes,NO,NO TIME
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,,,5,11,Table,,,,Acropora,Acropora,,,L,Unhealthy,Disease,Disease,Tissue loss,1,Apical,Smooth,,,Tissue loss,Yes,Yes,
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,,,5,11,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Unhealthy,Disease,Disease,Tissue loss,15,Peripheral ,Smooth,,,Tissue loss,Yes,NO,NO TIME
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,,,5,11,Branching,,,,Pocillopora,Pocillopora,damicornis,Yellow,L,Unhealthy,Disease,Disease,Tissue loss,5,Basal ,Smooth,,Polyp,Tissue loss,Yes,NO,NO TIME
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,,,5,11,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Unhealthy,Disease,Disease,Tissue loss,10,Basal ,Smooth,,,Tissue loss,Yes,NO,NO TIME
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,,,5,11,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Unhealthy,Disease,Disease,Tissue loss,10,Basal ,Smooth,,,Tissue loss,Yes,NO,NO TIME
23/11/18,23,2018 November,2018,Tess,Erscotts Reef,,,5,11,Submassive,,,,Isopora,Isopora,cuneata,Yellow,L,Unhealthy,Disease,Disease,Tissue loss,10,Basal ,Smooth,,,Tissue loss,Yes,NO,NO TIME
